geoid,md_primary_care_count,do_primary_care_count,total_population,pcp_count,pcp_per_100k
08095,5.0,0.0,4449.0,5.0,112.38480557428636
08097,14.0,1.0,16876.0,15.0,88.883621711306
08099,3.0,1.0,11854.0,4.0,33.743883921039306
08101,89.0,24.0,169544.0,113.0,66.64936535648563
08103,7.0,1.0,6569.0,8.0,121.7841376160755
08105,6.0,2.0,11325.0,8.0,70.6401766004415
08107,30.0,3.0,25007.0,33.0,131.96305034590316
08109,1.0,1.0,6623.0,2.0,30.197795560924053
08111,0.0,0.0,803.0,0.0,0.0
08113,7.0,0.0,8003.0,7.0,87.46719980007497
08115,2.0,0.0,2295.0,2.0,87.14596949891067
08117,20.0,3.0,30565.0,23.0,75.24946834614755
08119,6.0,1.0,24857.0,7.0,28.161081385525204
08121,1.0,1.0,4812.0,2.0,41.562759767248544
08123,174.0,25.0,350176.0,199.0,56.828566206707485
08125,7.0,1.0,9899.0,8.0,80.81624406505708
09001,877.0,47.0,962946.0,924.0,95.95553644752665
09003,800.0,63.0,898783.0,863.0,96.01872754602613
09005,88.0,8.0,186116.0,96.0,51.58073459562853
09007,113.0,11.0,166537.0,124.0,74.45792826819266
09009,760.0,21.0,869527.0,781.0,89.8189475427445
09011,157.0,7.0,268681.0,164.0,61.03892720363554
09013,71.0,6.0,156405.0,77.0,49.23116268661488
09015,42.0,8.0,117210.0,50.0,42.65847623922873
09110,,,,,
09120,,,,,
09130,,,,,
09140,,,,,
09150,,,,,
09160,,,,,
09170,,,,,
09180,,,,,
09190,,,,,
10001,78.0,14.0,186946.0,92.0,49.212071935211235
10003,450.0,71.0,575494.0,521.0,90.53091778541567
10005,135.0,25.0,255956.0,160.0,62.510744034130866
11001,859.0,36.0,671803.0,895.0,133.2235789360869
12001,409.0,21.0,284030.0,430.0,151.39245854311164
12003,9.0,1.0,27803.0,10.0,35.96734165377837
12005,86.0,6.0,185134.0,92.0,49.69373534845031
12007,2.0,1.0,27313.0,3.0,10.98378061728847
12009,408.0,33.0,630693.0,441.0,69.92308460693238
12011,1262.0,218.0,1947026.0,1480.0,76.01336602592878
12013,4.0,0.0,13464.0,4.0,29.708853238265004
12015,109.0,21.0,202661.0,130.0,64.14653041285693
12017,63.0,13.0,162529.0,76.0,46.760885749620066
12019,105.0,20.0,226589.0,125.0,55.16596127790846
12021,280.0,52.0,397994.0,332.0,83.41834299009534
12023,32.0,1.0,71908.0,33.0,45.89197307670913
12027,7.0,2.0,35312.0,9.0,25.487086542818304
12029,3.0,1.0,17124.0,4.0,23.3590282644242
12031,756.0,67.0,1016536.0,823.0,80.96122518041663
12033,223.0,27.0,324878.0,250.0,76.95196350630083
12035,54.0,9.0,126705.0,63.0,49.721794720018934
12037,3.0,1.0,12498.0,4.0,32.00512081933109
12039,10.0,1.0,43403.0,11.0,25.343870239384376
12041,6.0,2.0,18992.0,8.0,42.122999157540015
12043,0.0,0.0,12454.0,0.0,0.0
12045,7.0,0.0,15314.0,7.0,45.70980801880632
12047,1.0,0.0,13217.0,1.0,7.566013467503972
12049,4.0,0.0,25645.0,4.0,15.597582374731918
12051,9.0,2.0,41339.0,11.0,26.609255182757202
12053,96.0,16.0,206896.0,112.0,54.13347768927384
12055,55.0,7.0,105618.0,62.0,58.70211516976273
12057,1137.0,107.0,1513301.0,1244.0,82.20439952131136
12059,6.0,1.0,19651.0,7.0,35.62159686529947
12061,94.0,13.0,167352.0,107.0,63.93709068311105
12063,17.0,0.0,48211.0,17.0,35.26166227624401
12065,4.0,0.0,15042.0,4.0,26.592208482914504
12067,2.0,0.0,7786.0,2.0,25.687130747495505
12069,211.0,28.0,410139.0,239.0,58.27292698329103
12071,427.0,91.0,822453.0,518.0,62.98232239410641
12073,263.0,17.0,297369.0,280.0,94.15910871677949
12075,2.0,4.0,45260.0,6.0,13.25673884224481
12077,0.0,0.0,7603.0,0.0,0.0
12079,1.0,1.0,18198.0,2.0,10.990218705352236
12081,219.0,56.0,429125.0,275.0,64.08389163996505
12083,203.0,25.0,396415.0,228.0,57.515482512013925
12085,87.0,29.0,162006.0,116.0,71.602286335074
12086,2121.0,137.0,2673837.0,2258.0,84.44793007202757
12087,41.0,10.0,81708.0,51.0,62.417388750183584
12089,28.0,8.0,97899.0,36.0,36.772592161309106
12091,141.0,11.0,216482.0,152.0,70.21368982178656
12093,16.0,1.0,40412.0,17.0,42.066712857567055
12095,1264.0,94.0,1452726.0,1358.0,93.47943108335639
12097,168.0,6.0,422545.0,174.0,41.17904601876723
12099,1078.0,143.0,1518477.0,1221.0,80.40951558699935
12101,292.0,28.0,608794.0,320.0,52.562935902784844
12103,757.0,145.0,961739.0,902.0,93.78843948306141
12105,333.0,28.0,787404.0,361.0,45.84685879167492
12107,30.0,3.0,74731.0,33.0,44.158381394601975
12109,259.0,35.0,306841.0,294.0,95.81509641801453
12111,103.0,18.0,358704.0,121.0,33.73254828493688
12113,96.0,20.0,198268.0,116.0,58.50666774265136
12115,313.0,53.0,462286.0,366.0,79.17176812622489
12117,330.0,43.0,478772.0,373.0,77.90764706373805
12119,54.0,9.0,144970.0,63.0,43.45726702076292
12121,4.0,0.0,45411.0,4.0,8.808438484067738
12123,9.0,1.0,21283.0,10.0,46.98585725696565
12125,5.0,0.0,15460.0,5.0,32.34152652005175
12127,355.0,47.0,579192.0,402.0,69.40703600878466
12129,10.0,2.0,35178.0,12.0,34.112229234180454
12131,32.0,4.0,83304.0,36.0,43.2152117545376
12133,6.0,1.0,25414.0,7.0,27.543873455575667
13001,6.0,1.0,18428.0,7.0,37.9856739743868
13003,0.0,0.0,8183.0,0.0,0.0
13005,4.0,1.0,11191.0,5.0,44.678759717630236
13007,0.0,0.0,2788.0,0.0,0.0
13009,20.0,0.0,43635.0,20.0,45.834765669760515
13011,3.0,0.0,19328.0,3.0,15.521523178807948
13013,20.0,0.0,89299.0,20.0,22.396667375894467
13015,39.0,6.0,112816.0,45.0,39.88795915472983
13017,4.0,3.0,17069.0,7.0,41.010018161579474
13019,3.0,1.0,18214.0,4.0,21.961128802020426
13021,225.0,5.0,156197.0,230.0,147.24994718208416
13023,2.0,0.0,12257.0,2.0,16.317206494248182
13025,2.0,1.0,18183.0,3.0,16.49892756970797
13027,5.0,1.0,16253.0,6.0,36.91626161324063
13029,25.0,2.0,48225.0,27.0,55.98755832037325
13031,44.0,1.0,83059.0,45.0,54.17835514513779
13033,7.0,0.0,24388.0,7.0,28.70264064293915
13035,8.0,0.0,26649.0,8.0,30.019888175916545
13037,2.0,0.0,5469.0,2.0,36.5697568111172
13039,13.0,0.0,57013.0,13.0,22.801817129426624
13043,2.0,0.0,11000.0,2.0,18.18181818181818
13045,65.0,1.0,124592.0,66.0,52.972903557210735
13047,34.0,5.0,68826.0,39.0,56.664632551652
13049,3.0,0.0,12781.0,3.0,23.472341757295986
13051,263.0,29.0,301107.0,292.0,96.97549376135395
13053,5.0,3.0,8819.0,8.0,90.71323279283365
13055,2.0,0.0,24936.0,2.0,8.020532563362208
13057,103.0,10.0,281278.0,113.0,40.17377825496484
13059,111.0,8.0,129875.0,119.0,91.62656400384985
13061,1.0,0.0,2845.0,1.0,35.149384885764505
13063,64.0,3.0,296564.0,67.0,22.592088048448225
13065,1.0,0.0,6662.0,1.0,15.010507355148604
13067,594.0,19.0,771952.0,613.0,79.40908242999565
13069,21.0,2.0,43172.0,23.0,53.2752710089873
13071,16.0,2.0,45762.0,18.0,39.33394519470303
13073,153.0,19.0,162419.0,172.0,105.89894039490454
13075,8.0,0.0,17404.0,8.0,45.96644449551827
13077,65.0,1.0,152882.0,66.0,43.17054983582109
13079,1.0,0.0,12140.0,1.0,8.237232289950576
13081,14.0,1.0,19708.0,15.0,76.1112238684798
13083,4.0,0.0,16081.0,4.0,24.87407499533611
13085,18.0,1.0,30138.0,19.0,63.04333399694737
13087,12.0,0.0,28982.0,12.0,41.40501000621075
13089,798.0,20.0,762820.0,818.0,107.23368553525077
13091,6.0,0.0,19802.0,6.0,30.2999697000303
13093,1.0,0.0,10572.0,1.0,9.458948164964056
13095,75.0,4.0,82966.0,79.0,95.21972856350794
13097,62.0,3.0,147316.0,65.0,44.12283798093893
13099,5.0,0.0,10574.0,5.0,47.28579534707774
13101,0.0,0.0,3686.0,0.0,0.0
13103,17.0,1.0,69041.0,18.0,26.071464781796323
13105,6.0,1.0,19814.0,7.0,35.32855556677097
13107,7.0,1.0,22929.0,8.0,34.89031357669327
13109,4.0,0.0,10695.0,4.0,37.40065451145395
13111,18.0,0.0,25737.0,18.0,69.93822123790652
13113,134.0,7.0,122030.0,141.0,115.54535769892651
13115,129.0,12.0,99443.0,141.0,141.78976901340468
13117,106.0,4.0,267237.0,110.0,41.16196484768202
13119,7.0,1.0,24128.0,8.0,33.15649867374005
13121,1163.0,39.0,1074634.0,1202.0,111.85203520454405
13123,12.0,1.0,32407.0,13.0,40.114790014503036
13125,1.0,0.0,2939.0,1.0,34.02517863218782
13127,43.0,3.0,85079.0,46.0,54.06739618472243
13129,27.0,1.0,58954.0,28.0,47.49465685110425
13131,10.0,2.0,26008.0,12.0,46.13964933866502
13133,10.0,2.0,20139.0,12.0,59.58587814687919
13135,602.0,59.0,975353.0,661.0,67.77033545803417
13137,18.0,1.0,47475.0,19.0,40.02106371774618
13139,133.0,9.0,212692.0,142.0,66.76320689071521
13141,1.0,0.0,8387.0,1.0,11.92321449862883
13143,12.0,0.0,31337.0,12.0,38.293391198902256
13145,10.0,0.0,36276.0,10.0,27.566435108611753
13147,9.0,2.0,26909.0,11.0,40.8785164814746
13149,2.0,0.0,11725.0,2.0,17.057569296375267
13151,118.0,7.0,248364.0,125.0,50.32935530109034
13153,82.0,12.0,169631.0,94.0,55.414399490659136
13155,3.0,0.0,9126.0,3.0,32.87310979618672
13157,41.0,6.0,83936.0,47.0,55.99504384292795
13159,5.0,0.0,15951.0,5.0,31.345997116168263
13161,3.0,0.0,14889.0,3.0,20.149103364900263
13163,1.0,0.0,15314.0,1.0,6.529972574115189
13165,3.0,0.0,8689.0,3.0,34.52641270571988
13167,4.0,0.0,9242.0,4.0,43.28067517853278
13169,7.0,0.0,28472.0,7.0,24.585557740938462
13171,5.0,0.0,19467.0,5.0,25.68449170390918
13173,0.0,0.0,10171.0,0.0,0.0
13175,37.0,4.0,49660.0,41.0,82.56141763995167
13177,13.0,3.0,33642.0,16.0,47.55959812139588
13179,20.0,6.0,68030.0,26.0,38.21843304424519
13181,2.0,0.0,7841.0,2.0,25.506950644050505
13183,1.0,0.0,18348.0,1.0,5.450185306300414
13185,62.0,6.0,119739.0,68.0,56.79018531973709
13187,11.0,1.0,34796.0,12.0,34.486722611794455
13189,13.0,0.0,21713.0,13.0,59.871966103256106
13191,0.0,0.0,11180.0,0.0,0.0
13193,1.0,0.0,11765.0,1.0,8.499787505312367
13195,6.0,0.0,31473.0,6.0,19.06395958440568
13197,0.0,0.0,7449.0,0.0,0.0
13199,3.0,1.0,20845.0,4.0,19.18925401775006
13201,2.0,1.0,5807.0,3.0,51.66178749784743
13205,9.0,1.0,21116.0,10.0,47.357454063269564
13207,13.0,1.0,29427.0,14.0,47.575355965609816
13209,0.0,0.0,8655.0,0.0,0.0
13211,8.0,0.0,21031.0,8.0,38.0390851600019
