geoid,uninsured_rate,uninsured_count,total_population
27043,0.069,723.0,10554.0
27045,0.077,1282.0,16586.0
27047,0.083,1931.0,23324.0
27049,0.052000000000000005,1973.0,37807.0
27051,0.062,287.0,4660.0
27053,0.052000000000000005,54716.0,1047707.0
27055,0.042,603.0,14386.0
27057,0.075,1207.0,15991.0
27059,0.057999999999999996,2050.0,35373.0
27061,0.06,1991.0,33039.0
27063,0.055,417.0,7560.0
27065,0.069,880.0,12812.0
27067,0.065,2230.0,34405.0
27069,0.046,137.0,2994.0
27071,0.061,510.0,8370.0
27073,0.054000000000000006,260.0,4811.0
27075,0.063,501.0,7896.0
27077,0.052000000000000005,149.0,2857.0
27079,0.048,1144.0,23619.0
27081,0.055999999999999994,234.0,4187.0
27083,0.055,1112.0,20305.0
27085,0.053,1559.0,29200.0
27087,0.08,321.0,4020.0
27089,0.066,446.0,6775.0
27091,0.059000000000000004,862.0,14675.0
27093,0.061,1116.0,18427.0
27095,0.066,1448.0,21899.0
27097,0.054000000000000006,1449.0,26833.0
27099,0.07200000000000001,2311.0,32215.0
27101,0.071,413.0,5856.0
27103,0.047,1224.0,26114.0
27105,0.11,1948.0,17687.0
27107,0.069,341.0,4975.0
27109,0.040999999999999995,5607.0,135240.0
27111,0.066,2946.0,44742.0
27113,0.034,371.0,10971.0
27115,0.068,1485.0,21693.0
27117,0.073,537.0,7327.0
27119,0.055999999999999994,1357.0,24141.0
27121,0.044000000000000004,378.0,8503.0
27123,0.067,29534.0,439032.0
27125,0.054000000000000006,160.0,2960.0
27127,0.069,813.0,11864.0
27129,0.084,945.0,11218.0
27131,0.061,3023.0,49701.0
27133,0.047,352.0,7514.0
27135,0.053,653.0,12225.0
27137,0.057999999999999996,8880.0,153223.0
27139,0.044000000000000004,5926.0,134605.0
27141,0.047,4031.0,86493.0
27143,0.062,743.0,11958.0
27145,0.052000000000000005,6719.0,128676.0
27147,0.05,1494.0,29978.0
27149,0.054000000000000006,399.0,7341.0
27151,0.091,671.0,7406.0
27153,0.08199999999999999,1591.0,19346.0
27155,0.061,147.0,2396.0
27157,0.047,774.0,16474.0
27159,0.063,716.0,11318.0
27161,0.055999999999999994,808.0,14504.0
27163,0.039,9023.0,228600.0
27165,0.10400000000000001,890.0,8597.0
27167,0.040999999999999995,207.0,5058.0
27169,0.055999999999999994,2095.0,37292.0
27171,0.044000000000000004,5551.0,127593.0
27173,0.066,482.0,7298.0
28001,0.154,3158.0,20499.0
28003,0.139,3772.0,27090.0
28005,0.154,1409.0,9127.0
28007,0.141,1929.0,13716.0
28009,0.18,1072.0,5947.0
28011,0.142,3135.0,22132.0
28013,0.171,1710.0,9997.0
28015,0.152,1011.0,6653.0
28017,0.145,1888.0,13030.0
28019,0.128,773.0,6059.0
28021,0.12,710.0,5921.0
28023,0.133,1548.0,11663.0
28025,0.125,1762.0,14116.0
28027,0.14400000000000002,2248.0,15572.0
28029,0.129,2698.0,20966.0
28031,0.129,1893.0,14684.0
28033,0.106,17404.0,163509.0
28035,0.11900000000000001,7273.0,61215.0
28037,0.138,812.0,5894.0
28039,0.138,2922.0,21100.0
28041,0.11699999999999999,1024.0,8746.0
28043,0.139,2312.0,16588.0
28045,0.125,4443.0,35686.0
28047,0.141,24109.0,171107.0
28049,0.129,21861.0,168888.0
28051,0.13699999999999998,1649.0,12010.0
28053,0.155,880.0,5689.0
28055,0.23,126.0,549.0
28057,0.134,2477.0,18532.0
28059,0.125,14870.0,118620.0
28061,0.11800000000000001,1445.0,12233.0
28063,0.147,757.0,5149.0
28065,0.13699999999999998,1111.0,8084.0
28067,0.132,6909.0,52338.0
28069,0.13,741.0,5693.0
28071,0.139,6099.0,43730.0
28073,0.131,7190.0,54950.0
28075,0.132,7157.0,54210.0
28077,0.133,1237.0,9277.0
28079,0.157,2571.0,16327.0
28081,0.13,8957.0,68882.0
28083,0.124,2596.0,20959.0
28085,0.139,3896.0,27982.0
28087,0.113,5114.0,45441.0
28089,0.09699999999999999,8899.0,91747.0
28091,0.14300000000000002,2682.0,18786.0
28093,0.139,3526.0,25311.0
28095,0.13699999999999998,3588.0,26268.0
28097,0.159,1137.0,7171.0
28099,0.152,3422.0,22449.0
28101,0.132,2139.0,16161.0
28103,0.158,1229.0,7769.0
28105,0.131,5094.0,38841.0
28107,0.14300000000000002,3718.0,26011.0
28109,0.152,6850.0,45181.0
28111,0.132,1204.0,9120.0
28113,0.145,4491.0,30891.0
28115,0.15,3953.0,26329.0
28117,0.13,2486.0,19109.0
28119,0.152,668.0,4396.0
28121,0.109,13924.0,127433.0
28123,0.153,3472.0,22667.0
28125,0.136,358.0,2626.0
28127,0.142,2857.0,20125.0
28129,0.138,1519.0,10971.0
28131,0.152,2173.0,14257.0
28133,0.133,2193.0,16456.0
28135,0.141,1138.0,8097.0
28137,0.134,2977.0,22181.0
28139,0.16899999999999998,2896.0,17157.0
28141,0.166,2422.0,14592.0
28143,0.121,934.0,7723.0
28145,0.134,3111.0,23265.0
28147,0.165,1756.0,10645.0
28149,0.11699999999999999,3946.0,33615.0
28151,0.141,4648.0,32919.0
28153,0.163,2564.0,15691.0
