NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Martin County, Texas",93734,5157,5218,48,317
"Mason County, Texas",74180,3947,3955,48,319
"Matagorda County, Texas",58628,35987,36329,48,321
"Maverick County, Texas",49568,57643,58082,48,323
"Medina County, Texas",78074,51077,53547,48,325
"Menard County, Texas",53043,1909,1955,48,327
"Midland County, Texas",92874,173380,174801,48,329
"Milam County, Texas",66141,25041,25567,48,331
"Mills County, Texas",67620,4357,4511,48,333
"Mitchell County, Texas",60550,7622,9018,48,335
"Montague County, Texas",64545,20772,21046,48,337
"Montgomery County, Texas",97701,681253,684432,48,339
"Moore County, Texas",61762,21238,21373,48,341
"Morris County, Texas",58645,11960,12076,48,343
"Motley County, Texas",61154,1183,1183,48,345
"Nacogdoches County, Texas",53555,64388,65162,48,347
"Navarro County, Texas",63111,53949,54711,48,349
"Newton County, Texas",42618,11950,12093,48,351
"Nolan County, Texas",50747,14267,14454,48,353
"Nueces County, Texas",66897,347034,352955,48,355
"Ochiltree County, Texas",70183,9714,9786,48,357
"Oldham County, Texas",79900,1767,2249,48,359
"Orange County, Texas",72104,84666,85307,48,361
"Palo Pinto County, Texas",67674,29023,29295,48,363
"Panola County, Texas",64894,22466,22726,48,365
"Parker County, Texas",104443,163643,165168,48,367
"Parmer County, Texas",69735,9626,9731,48,369
"Pecos County, Texas",72750,12798,14896,48,371
"Polk County, Texas",62259,48967,52800,48,373
"Potter County, Texas",53249,109320,115975,48,375
"Presidio County, Texas",43802,5927,5930,48,377
"Rains County, Texas",65413,12710,12775,48,379
"Randall County, Texas",83864,145034,146070,48,381
"Reagan County, Texas",57813,3224,3232,48,383
"Real County, Texas",39605,2708,2802,48,385
"Red River County, Texas",48491,11428,11611,48,387
"Reeves County, Texas",64297,11682,12664,48,389
"Refugio County, Texas",60181,6560,6707,48,391
"Roberts County, Texas",67868,832,832,48,393
"Robertson County, Texas",72236,16962,17167,48,395
"Rockwall County, Texas",127981,122794,123617,48,397
"Runnels County, Texas",62632,9662,9874,48,399
