,geoid,uninsured_rate,uninsured_count,total_population
559,16013,0.145,2813.0,19363.0
560,16015,0.095,573.0,6014.0
561,16017,0.111,4195.0,37861.0
562,16019,0.091,10054.0,110836.0
563,16021,0.136,1387.0,10183.0
564,16023,0.1,200.0,1995.0
565,16025,0.14,124.0,887.0
566,16027,0.119,25310.0,212467.0
567,16029,0.092,541.0,5874.0
568,16031,0.125,2709.0,21595.0
569,16033,0.216,139.0,645.0
570,16035,0.094,545.0,5778.0
571,16037,0.127,395.0,3114.0
572,16039,0.115,2775.0,24032.0
573,16041,0.1009999999999999,1308.0,12894.0
574,16043,0.134,1467.0,10947.0
575,16045,0.11,1727.0,15632.0
576,16047,0.18,2280.0,12663.0
577,16049,0.114,1375.0,12023.0
578,16051,0.091,2668.0,29162.0
579,16053,0.161,3466.0,21572.0
580,16055,0.093,13726.0,147201.0
581,16057,0.073,2388.0,32716.0
582,16059,0.126,709.0,5627.0
583,16061,0.113,304.0,2692.0
584,16063,0.14,633.0,4510.0
585,16065,0.083,3072.0,37096.0
586,16067,0.142,2627.0,18457.0
587,16069,0.093,3089.0,33121.0
588,16071,0.084,310.0,3704.0
589,16073,0.166,1681.0,10114.0
590,16075,0.118,2570.0,21709.0
591,16077,0.14,923.0,6605.0
592,16079,0.107,1142.0,10655.0
593,16081,0.145,1559.0,10755.0
594,16083,0.1119999999999999,8637.0,77312.0
595,16085,0.1119999999999999,1018.0,9053.0
596,16087,0.092,751.0,8173.0
597,17001,0.0559999999999999,2840.0,50621.0
598,17003,0.057,207.0,3607.0
599,17005,0.064,721.0,11184.0
600,17007,0.067,2965.0,43982.0
601,17009,0.038,144.0,3753.0
602,17011,0.074,1868.0,25244.0
603,17013,0.054,177.0,3278.0
604,17015,0.076,802.0,10600.0
605,17017,0.078,807.0,10294.0
606,17019,0.057,9355.0,163377.0
607,17021,0.061,1456.0,24016.0
608,17023,0.059,716.0,12077.0
609,17025,0.059,599.0,10209.0
